c,c#,c++,cassandra,couchdb,d3,db2,excel,flume,git,hadoop,hbase,hive,java,javascript,job_title,keras,mahout,mapreduce,matlab,memcacheddb,mongodb,mysql,nosql,oozie,oracle,perl,pig,postgresql,python,r,rethinkdb,ruby,sas,scala,shark,spark,spss,sql,state,sybase,tableau,tensorflow,tsql,vba,zookeeper
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Data Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technical Program Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technical Program Manager II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technical Program Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,Sr. .NET / BI Developer – AI,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Intelligence Analyst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Engagement Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist - Driver Vehicles (Seattle),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Internship/Praktikum: Anwendung von IBM Watson AI in SAP Umgebungen,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,WA,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Data Scientist I - New Ventures,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Staff Data Scientist Engineer (592707),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,WA,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"data scientist, Sales %26 Distribution - Branded Solutions: Seattle, WA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,WA,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Sr./Lead Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Principal Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,WA,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,WA,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Siri - Data Scientist (Machine Learning & Natural Language),0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intern - Data Scientist, Technician",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Data Scientist - I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Data Scientist - I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Senior Data Scientist,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,WA,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Senior Data Scientist,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist - Online Safety, Security",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SAP Concur iXp Intern- Data Scientist Job,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,WA,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist - Corporate Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"Data Science Instructor, Senior Data Scientist",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UX Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Manager, Data Scientist, Machine Learning",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lead Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,WA,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Data Scientist,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Senior Data Scientist,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Data Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technical Program Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technical Program Manager II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technical Program Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,Sr. .NET / BI Developer – AI,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Intelligence Analyst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Engagement Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist - Driver Vehicles (Seattle),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Data Scientist I - New Ventures,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Staff Data Scientist Engineer (592707),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,WA,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"data scientist, Sales %26 Distribution - Branded Solutions: Seattle, WA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,WA,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Sr./Lead Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,WA,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Siri - Data Scientist (Machine Learning & Natural Language),0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Intern - Data Scientist, Technician",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Data Scientist - I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Data Scientist - I,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Senior Data Scientist,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,WA,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Senior Data Scientist,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist - Online Safety, Security",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SAP Concur iXp Intern- Data Scientist Job,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,WA,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist - Corporate Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"Data Science Instructor, Senior Data Scientist",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UX Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Manager, Data Scientist, Machine Learning",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lead Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Senior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,WA,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Data Scientist,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,WA,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Senior Data Scientist, Machine Learning",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Data Scientist Job (Renton, WA, US)",0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,WA,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,"Senior Data Scientist, Healthcare",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist/Software Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior Data Scientist - Artificial Intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WA,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Data Scientist,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,WA,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist needed in Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"lead data scientist, Data %26 Measurement Sciences, SSC - Seattle, WA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist Associate, Workforce Analytics",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,DE,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advanced Solutions Sales Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WI,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Life Insurance Agent (100% autonomy, work when & where you w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WV,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"lead data scientist, Data %26 Measurement Sciences, SSC - Seattle, WA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Director, Data Scientist. NLP",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,WA,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Senior Data Scientist, Customer Insights",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"lead data scientist, Data & Measurement Sciences, SSC - Seattle, WA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,WA,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"Data Science Instructor, Senior Data Scientist",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"lead data scientist, Data %26 Measurement Sciences, SSC - Seattle, WA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Director, Data Scientist. NLP",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,WA,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Senior Data Scientist, Customer Insights",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,WA,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"lead data scientist, Data & Measurement Sciences, SSC - Seattle, WA",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,WA,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"Data Science Instructor, Senior Data Scientist",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Principal Data Scientist - Marketing Cloud,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,WA,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,WA,0,1,0,0,0,0
